package,version
7zip,23.01+dfsg-11
accountsservice,23.13.9-2ubuntu6
acl,2.3.2-1build1.1
acpid,1:2.0.34-1ubuntu2
adduser,3.137ubuntu1
adwaita-icon-theme,46.0-1
alsa-base,1.0.25+dfsg-0ubuntu7
alsa-topology-conf,1.2.5.1-2
alsa-ucm-conf,1.2.10-1ubuntu5.13
alsa-utils,1.2.9-1ubuntu5
amd64-microcode,3.20251202.1ubuntu0.24.04.1
anacron,2.3-39ubuntu2
android-libaapt,1:14~beta1-2build3
android-libandroidfw,1:14~beta1-2build3
android-libbacktrace,1:34.0.4-1build3
android-libutils,1:34.0.4-1build3
android-sdk-build-tools-common,29.0.3+9
android-sdk-common,28.0.2+9
android-sdk-platform-tools,28.0.2+9
apg,2.2.3.dfsg.1-5build3
apktool,2.7.0+dfsg-7
apparmor,4.0.1really4.0.1-0ubuntu0.24.04.7
app-install-data,15.10build1
appstream,1.0.2-1build6
apt,2.8.3
aptdaemon,1.1.1+bzr982-0ubuntu44mint1
aptdaemon-data,1.1.1+bzr982-0ubuntu44mint1
aptitude,0.8.13-5ubuntu5
aptitude-common,0.8.13-5ubuntu5
apt-transport-https,2.8.3
apt-utils,2.8.3
aspell,0.60.8.1-1build1
aspell-en,2020.12.07-0-1
at-spi2-common,2.52.0-1build1
at-spi2-core,2.52.0-1build1
attr,1:2.5.2-1build1.1
audacity,3.4.2+dfsg-1build4
autoconf,2.71-3
autoconf-archive,20220903-3
automake,1:1.16.5-1.3ubuntu1
avahi-autoipd,0.8-13ubuntu6.2
avahi-daemon,0.8-13ubuntu6.2
avahi-utils,0.8-13ubuntu6.2
baobab,46.0-1build1
base-files,13ubuntu10mint22.3.0
base-passwd,3.6.3build1
bash,5.2.21-2ubuntu4
bash-completion,1:2.11-8
bc,1.07.1-3ubuntu4
bind9-dnsutils,1:9.18.39-0ubuntu0.24.04.5
bind9-host,1:9.18.39-0ubuntu0.24.04.5
bind9-libs,1:9.18.39-0ubuntu0.24.04.5
binutils,2.42-4ubuntu2.10
binutils-common,2.42-4ubuntu2.10
binutils-x86-64-linux-gnu,2.42-4ubuntu2.10
bison,2:3.8.2+dfsg-1build2
blueman,2.4.4+mint2+xia
bluetooth,5.72-0ubuntu5.5
bluez,5.72-0ubuntu5.5
bluez-cups,5.72-0ubuntu5.5
bluez-obexd,5.72-0ubuntu5.5
bolt,0.9.7-1
bpfcc-tools,0.29.1+ds-1ubuntu7
bpftrace,0.20.2-1ubuntu4.3
brightnessctl,0.5.1-3.1
brltty,6.6-4ubuntu5
bruno,3.2.0
bsdextrautils,2.39.3-9ubuntu6.5
bsdutils,1:2.39.3-9ubuntu6.5
btop,1.3.0-1
btrfs-progs,6.6.3-1.1build2
bubblewrap,0.9.0-1ubuntu0.1
build-essential,12.10ubuntu1
bulky,4.2
busybox-initramfs,1:1.36.1-6ubuntu3.1
busybox-static,1:1.36.1-6ubuntu3.1
bzip2,1.0.8-5.1build0.1
ca-certificates,20260601~24.04.1
caddy,2.6.2-6ubuntu0.24.04.3
catdoc,1:0.95-5build1
cava,0.7.4-1build2
ccache,4.9.1-1
cifs-utils,2:7.0-2ubuntu0.5
cinnamon,6.7.4
cinnamon-common,6.7.4
cinnamon-control-center,6.6.0+zena
cinnamon-control-center-data,6.6.0+zena
cinnamon-desktop-data,6.7.2
cinnamon-l10n,6.6.2
cinnamon-screensaver,6.7.1
cinnamon-session,6.7.3
cinnamon-session-common,6.7.3
cinnamon-settings-daemon,6.7.2
circle-flags-svg,2.7.0+mint1
cjs,115.1+zena
ckan,1.36.4.26132
clang,1:18.0-59~exp2
clang-15,1:15.0.7-14build3
clang-19,1:19.1.7-1ubuntu2~kisak~n
clinfo,3.0.23.01.25-1build1
cloc,1.98-1
cmake,3.28.3-1build7
cmake-extras,1.7-2
cmatrix,2.0-6
code,1.129.0-1784074987
colord,1.4.7-1build2
colord-data,1.4.7-1build2
command-not-found,23.04.0
console-setup,1.226ubuntu1
console-setup-linux,1.226ubuntu1
coreutils,9.4-3ubuntu6.2
cpdb-backend-cups,2.0~b5-0ubuntu6
cpio,2.15+dfsg-1ubuntu2
cpp-13,13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu,13.3.0-6ubuntu2~24.04.1
cpp,4:13.2.0-7ubuntu1
cppcheck,2.13.0-2ubuntu3
cpp-x86-64-linux-gnu,4:13.2.0-7ubuntu1
cpupower-gui,0.7.2-2.1ubuntu2
cracklib-runtime,2.9.6-5.1build2
cron,3.0pl1-184ubuntu2
cron-daemon-common,3.0pl1-184ubuntu2
cryptsetup,2:2.7.0-1ubuntu4.2
cryptsetup-bin,2:2.7.0-1ubuntu4.2
cryptsetup-initramfs,2:2.7.0-1ubuntu4.2
cups,2.4.7-1.2ubuntu7.14
cups-browsed,2.0.0-0ubuntu10.3
cups-bsd,2.4.7-1.2ubuntu7.14
cups-client,2.4.7-1.2ubuntu7.14
cups-common,2.4.7-1.2ubuntu7.14
cups-core-drivers,2.4.7-1.2ubuntu7.14
cups-daemon,2.4.7-1.2ubuntu7.14
cups-filters,2.0.0-0ubuntu4.1
cups-filters-core-drivers,2.0.0-0ubuntu4.1
cups-ipp-utils,2.4.7-1.2ubuntu7.14
cups-pk-helper,0.2.6-1ubuntu8
cups-ppdc,2.4.7-1.2ubuntu7.14
cups-server-common,2.4.7-1.2ubuntu7.14
curl,8.5.0-2ubuntu10.11
cursor,3.12.10-1784174163
dash,0.5.12-6ubuntu5
dbus,1.14.10-4ubuntu4.1
dbus-bin,1.14.10-4ubuntu4.1
dbus-daemon,1.14.10-4ubuntu4.1
dbus-session-bus-common,1.14.10-4ubuntu4.1
dbus-system-bus-common,1.14.10-4ubuntu4.1
dbus-user-session,1.14.10-4ubuntu4.1
dbus-x11,1.14.10-4ubuntu4.1
dc,1.07.1-3ubuntu4
dconf-cli,0.40.0-4ubuntu0.1
dconf-editor,45.0.1-1build2
dconf-gsettings-backend,0.40.0-4ubuntu0.1
dconf-service,0.40.0-4ubuntu0.1
dcraw,9.28-5ubuntu1
dctrl-tools,2.24-3build3
debconf,1.5.86ubuntu1
debconf-i18n,1.5.86ubuntu1
debhelper,13.14.1ubuntu5
debianutils,5.17build1
desktop-file-utils,0.27-2build1
devtoys.cli,2.0.9
dhcpcd-base,1:10.0.6-1ubuntu3.2
dialog,1.3-20240101-1
dictionaries-common,1.29.7
diffutils,1:3.10-1build1
dirmngr,2.4.4-2ubuntu17.4
discord,1.0.138
distro-info,1.7build1
distro-info-data,0.60ubuntu0.6
dkms,3.0.11-1ubuntu13
dmeventd,2:1.02.185-3ubuntu3.2
dmidecode,3.5-3ubuntu0.1
dmraid,1.0.0.rc16-12ubuntu2
dmsetup,2:1.02.185-3ubuntu3.2
dmz-cursor-theme,0.4.5ubuntu1
dnsmasq-base,2.90-2ubuntu0.4
dns-root-data,2024071801~ubuntu0.24.04.1
docbook-xml,4.5-12
dosfstools,4.2-1.1build1
dotnet8,8.0.129-8.0.29-0ubuntu1~24.04.1
doxygen,1.9.8+ds-2ubuntu0.1
dpkg,1.22.6ubuntu6.6
dpkg-dev,1.22.6ubuntu6.6
dpkg-repack,1.52
dracut-install,060+5-1ubuntu3.3
drawing,1.0.2-1build1
e2fsprogs,1.47.0-2.4~exp1ubuntu4.1
ecryptfs-utils,111-6ubuntu3
ed,1.20.1-1
efibootmgr,18-1build2
eject,2.39.3-9ubuntu6.5
emacsen-common,3.0.5
enchant-2,2.3.3-2build2
engrampa,1.26.2-5
entr,5.5-1
espeak-ng-data,1.51+dfsg-12build1
evolution-data-server,3.52.3-0ubuntu1.2
evolution-data-server-common,3.52.3-0ubuntu1.2
exfat-fuse,1.4.0-2
exfatprogs,1.2.2-1build1
exif,0.6.22-3build1
eza,0.18.2-1
fakeroot,1.33-1
fastfetch,2.66.0~noble
fdisk,2.39.3-9ubuntu6.5
feh,3.10.1-1ubuntu0.1
ffmpegthumbnailer,2.2.2+git20240104+dfsg-1build1
file,1:5.45-3build1
file-roller,43.0+mint1+wilma
finalrd,9build1
findutils,4.9.0-5build1
fingwit,1.0.8+zena
firmware-sof-signed,2023.12.1-1ubuntu1.11
fish,4.0.0-2~noble
flatpak,1.14.6-1ubuntu0.1
flex,2.6.4-8.2build1
folder-color-switcher,1.7.1
fontconfig,2.15.0-1.1ubuntu2
fontconfig-config,2.15.0-1.1ubuntu2
fonts-dejavu-core,2.37-8
fonts-dejavu-mono,2.37-8
fonts-droid-fallback,1:6.0.1r16-1.1build1
fonts-firacode,6.2-2
fonts-font-awesome,5.0.10+really4.7.0~dfsg-4.1
fonts-liberation,1:2.1.5-3
fonts-liberation2,1:2.1.5-3
fonts-mathjax,2.7.9+dfsg-1
fonts-noto-cjk,1:20230817+repack1-3
fonts-noto-color-emoji,2.047-0ubuntu0.24.04.1
fonts-noto-core,20201225-2
fonts-noto-mono,20201225-2
fonts-opensymbol,4:102.12+LibO24.2.7-0ubuntu0.24.04.6
fonts-ubuntu,0.869+git20240321-0ubuntu1
fonts-urw-base35,20200910-8
foomatic-db-compressed-ppds,20230202-1
foot,1.16.2-2ubuntu0.1
fprintd,1.94.3-1
freeglut3-dev,3.4.0-1build1
friendly-recovery,0.2.42
ftp,20230507-2build3
fuse3,3.14.0-5build1
fwupd,2.0.20-1ubuntu2~24.04.2
fwupd-signed,1.52+1.4-1
g++-13-x86-64-linux-gnu,13.3.0-6ubuntu2~24.04.1
g++-14,14.3.0-12ubuntu1~24~ppa1
gamemode,1.8.1-2build1
gamemode-daemon,1.8.1-2build1
gcc-13-base,13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu,13.3.0-6ubuntu2~24.04.1
gcc-14,14.3.0-12ubuntu1~24~ppa1
gcc-14-base,14.3.0-12ubuntu1~24~ppa1
gcc-14-x86-64-linux-gnu,14.3.0-12ubuntu1~24~ppa1
gcc-15,15.2.0-14ubuntu1~24~ppa1
gcc-15-base,15.2.0-14ubuntu1~24~ppa1
gcc-16-base,16-20260315-1ubuntu1~24~ppa1
gcc-16-base,16-20260315-1ubuntu1~24~ppa1
gcc,4:13.2.0-7ubuntu1
gcc-x86-64-linux-gnu,4:13.2.0-7ubuntu1
gcr,3.41.2-1build3
gcr4,4.2.0-5
gdb,15.1-1ubuntu1~24.04.1
gdisk,1.0.10-1build1
genisoimage,9:1.1.11-3.5
geocode-glib-common,3.26.3-6build3
geoip-database,20240403-1ubuntu1
gettext,0.21-14ubuntu2
gettext-base,0.21-14ubuntu2
gh,2.45.0-1ubuntu0.3
ghostscript,10.02.1~dfsg1-0ubuntu7.8
ghostty,1.3.0-0~ppa1
gimp,3.2.4-1build1~ubuntu2404
gimp-help-common,2.10.34-2
gimp-help-en,2.10.34-2
gir1.2-accountsservice-1.0,23.13.9-2ubuntu6
gir1.2-appstream-1.0,1.0.2-1build6
gir1.2-atk-1.0,2.52.0-1build1
gir1.2-atspi-2.0,2.52.0-1build1
